PRODUCT,TAGS
SS-P160FA,"BFA, All Bar Fridges, Commercial Bar Fridges, Upright Bar Fridges, Schmick,"
BD36,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Dual Zone,"
HUS-SC70-SS-COMBO,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Dual Zone,"
HUS-SC50AB,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar,"
SD36,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, "
SK190-SS,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, "
SK190-B,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick,"
HUS-EX108,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar,"
SK156L-HD,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar, "
SK156-SS-1,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar, "
 SK118L-B,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar,"
SK118R-B,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar, "
SK116-SS,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar,"
JC190-GG,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, "
SK86-SS,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar,"
SK116-B-1,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar,"
 SK118R-SS,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar,"
SK190-BS,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, "
 HUS-SC88L-SS,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar,"
SS-P160FA-GNBC160-CRISP-1,"BFA, All Bar Fridges, Commercial Bar Fridges, Upright Bar Fridges, Branded,"
SK156-B-1,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar, "
 JC95B,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar,"
SG2H-NQ,"BFA, All Bar Fridges, Commercial Bar Fridges, Rhino, "
HUS-SC88-SS-COMBO,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick,"
JC132-Combo,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Dual Zone,"
HUS-SC88-SS,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar,"
SK118R-BS,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar, "
 SG2H-NC,"BFA, All Bar Fridges, Commercial Bar Fridges, Rhino, "
GSP2H-840-SS,"BFA, All Bar Fridges, Commercial Bar Fridges, Rhino, "
SS-P160FA-GNBC160-ORIG-1,"BFA, All Bar Fridges, Commercial Bar Fridges, Upright Bar Fridges, Branded,"
SK116-SD,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar, "
SK156R-HD-1,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar, "
SG1L-HD,"BFA, All Bar Fridges, Commercial Bar Fridges, Rhino, Mini Bar,"
SG2H-B,"BFA, All Bar Fridges, Commercial Bar Fridges, Rhino, "
SK116-B-1,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar, "
 SK126-B-1,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar, "
SK126-SS-1,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar, "
SK126R-HD-1,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar, "
SK126L-HD-1,"BFA, All Bar Fridges, Commercial Bar Fridges, Schmick, Mini Bar,"
SS-P160FA-VB160V2,"BFA, All Bar Fridges, Commercial Bar Fridges, Upright Bar Fridges, Branded,"
SK135-X-FP,"BFA, All Bar Fridges, Commercial Bar Fridges, Upright Bar Fridges, Branded,"
DW-SD50,"BFA, All Bar Fridges, Commercial Bar Fridges, Dellware, Mini Bar, "
ENV3H-SS,"BFA, All Bar Fridges, Commercial Bar Fridges, Rhino,"
SG1R-B,"BFA, All Bar Fridges, Commercial Bar Fridges, Rhino, Mini Bar,"
GSP1H-SS,"BFA, All Bar Fridges, Commercial Bar Fridges, Rhino, Mini Bar,"
SG3H-B,"BFA, All Bar Fridges, Commercial Bar Fridges, Rhino,"
 GSP1H-840-SS,"BFA, All Bar Fridges, Commercial Bar Fridges, Rhino, Mini Bar,"
SG1R-SD,"BFA, All Bar Fridges, Commercial Bar Fridges, Rhino, Mini Bar,"
SG1L-B,"BFA, All Bar Fridges, Commercial Bar Fridges, Rhino, Mini Bar,"
 SK118L-BS,"BFA, All Bar Fridges, Commercial Fridges, Schmick, Mini Bar, "
SG1L-BQ,"BFA, All Bar Fridges, Commercial Fridges, Rhino, Mini Bar,"
SG0L-HD,"BFA, All Bar Fridges, Commercial Fridges, Rhino, Mini Bar,"
 SG2H-SD,"BFA, All Bar Fridges, Commercial Fridges, Rhino, "
ENV1L-SD,"BFA, All Bar Fridges, Commercial Fridges, Rhino, "
ENV1R-SD,"BFA, All Bar Fridges, Commercial Fridges, Rhino, "
GSP1-840-BW,"BFA, All Bar Fridges, Commercial Fridges, Rhino, Dual Zone, "
SG1R-HD,"BFA, All Bar Fridges, Commercial Fridges, Mini Bar, Rhino,"
SG2H-HD,"BFA, All Bar Fridges, Commercial Fridges, Dual Zone, Rhino,"
SG3H-HD,"BFA, All Bar Fridges, Commercial Fridges, Rhino,"
DW40T,"BFA, All Bar Fridges, Commercial Fridges, Dellware, Mini Bar,"
DW60T,"BFA, All Bar Fridges, Commercial Fridges, Dell Ware, Mini Bar,"
SK135R-S,"BFA, All Bar Fridges, Commercial Fridges, Upright Bar Fridges, Schmick, "
 BD425W,"BFA, All Bar Fridges, Commercial Fridges, Upright Bar Fridges, Schmick, Wine Fridges, "
BD425-Combo,"BFA, All Bar Fridges, Commercial Fridges, Schmick, Dual Zone, Wine Fridges,"
SG1L-SD,"BFA, All Bar Fridges, Commercial Fridges, Rhino, "
