ID,Type,SKU,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
3175,simple,COCO019,Admiral Black Leather and Copper Egg Chair,1,0,visible,"<div class=""length""><div class=""std""><b>Length:</b>82 cm</div></div><div class=""width""><div class=""std""><b>Width:</b>85 cm</div></div><div class=""height""><div class=""std""><b>Height:</b>118 cm</div></div><div class=""weight""><div class=""std""><b>Weight:</b>23.00 kg</div></div><div class=""materials""><div class=""std""><b>Materials:</b>Leather, wood, Copper wrap</div></div>","A panelled, copper body houses the luxurious textured and pressed leather cushion. Ideal in an office or as an occasional chair this piece pays homage to its World War II era. Whether playing the Bond villain, or getting lost in a good book, this chair offers the perfect space to let your imagination run wild. Features a special lean back mechanism and 360-degree rotation.<iframe src=""https://www.youtube.com/embed/rzv13bP1YPQ"" width=""570"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>",,,taxable,,47,82,85,118,0,,,2707,"Furniture > Chairs > Armchairs, Furniture > Chairs, Shop By Material > Metal (Material) > Copper Furniture (Metal Material), Furniture > Chairs > Desk Chairs, Shop by Room > Dining (Room), Furniture > Chairs > Egg Chairs, Furniture, Shop by Style > Industrial Aviator (Style), Shop by Style > Industrial Furniture (Style), Shop By Material > Leather (Material), Shop by Room > Living (Room), Shop by Style > Luxury Furniture (Style), Shop by Room > Mancave (Room), Shop by Style > Masculine Furniture (Style), Melbourne Furniture, Shop by Style > Modern Furniture (Style), Shop by Room > Office (Room), Furniture > Chairs > Office Chair (Seatings), Shop by Room, Shop by Style, Shop By Material > Leather (Material) > Top Grain (Leather Material), Shop by Style > Vintage Furniture (Style)",,,"https://www.cocolea.com.au/wp-content/uploads/2019/08/20160224_103410_001_2.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/20160224_103358_2.jpg",,,,,,,,,0,upi-identifier-exists,no,1,1,google-product-category,Furniture &gt; Office Furniture &gt; Office Chairs,1,1,,,,,,,,,,,,,,,,
3178,simple,COCO020,Admiral Brown Leather and Aluminium Egg Chair,1,0,visible,"<div class=""length""><div class=""std""><b>Length: </b>82 cm</div></div><div class=""width""><div class=""std""><b>Width:</b>85 cm</div></div><div class=""height""><div class=""std""><b>Height:</b>118 cm</div></div><div class=""weight""><div class=""std""><b>Weight: </b>30.00 kg</div></div><div class=""materials""><div class=""std""><b>Materials:</b>Leather, wood, aluminium wrap</div></div>","A panelled, aluminium body houses the luxurious textured and pressed leather cushion. Ideal in an office or as an occasional chair this piece pays homage to its World War II era. Whether playing the Bond villain, or getting lost in a good book, this chair offers the perfect space to let your imagination run wild. Features a special lean back mechanism and 360-degree rotation.",,,taxable,,47,82,85,118,0,,1850,2354,"Shop By Material > Metal (Material) > Aluminium Furniture (Metal Material), Shop by Room > Bedroom (Room), Furniture > Chairs, Furniture > Chairs > Desk Chairs, Shop by Room > Dining (Room), Furniture > Chairs > Egg Chairs, Furniture, Shop by Style > Industrial Aviator (Style), Shop by Style > Industrial Furniture (Style), Shop By Material > Leather (Material), Shop by Room > Living (Room), Shop by Style > Luxury Furniture (Style), Shop by Room > Mancave (Room), Shop by Style > Masculine Furniture (Style), Melbourne Furniture, Shop by Style > Modern Furniture (Style), Shop by Room > Office (Room), Furniture > Chairs > Office Chair (Seatings), Shop by Room, Shop by Style, Shop By Material > Leather (Material) > Top Grain (Leather Material), Shop by Style > Vintage Furniture (Style)",,,"https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_8782_3.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_8786_3_1.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_8787_3_1.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_8779_3_1.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_8783_3_1.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_8784_3_1.jpg",,,,,,,,,0,upi-identifier-exists,no,1,1,google-product-category,Furniture &gt; Office Furniture &gt; Office Chairs,1,1,,,,,,,,,,,,,,,,
3190,simple,COCO022,Belle X-1 Aluminium Aviator Cocoon Stool,1,0,visible,"<div class=""length""><div class=""std""><b>Length:</b>58 cm</div></div><div class=""width""><div class=""std""><b>Width:</b>58 cm</div></div><div class=""height""><div class=""std""><b>Height:</b>48.5 cm</div></div><div class=""weight""><div class=""std""><b>Weight:</b>7.00 kg</div></div><div class=""materials""><div class=""std""><b>Materials:</b>Leather, wood, aluminium wrap</div></div>","This compact statement stool features a panelled, studded aluminium exterior with a smooth, cushioned surface. The perfect addition to any relaxed yet sophisticated room. This unique design works as an individual piece or in conjunction with other designs in your bar or living space.",,,taxable,,7,58,58,48.5,1,,,612,"Shop By Material > Metal (Material) > Aluminium Furniture (Metal Material), Furniture > Stools > Cocoon Stools, Shop by Room > Dining (Room), Shop by Style > Industrial Aviator (Style), Shop by Style > Industrial Furniture (Style), Shop By Material > Leather (Material), Shop by Style > Luxury Furniture (Style), Shop by Room > Mancave (Room), Shop by Style > Masculine Furniture (Style), Melbourne Furniture, Shop by Style > Modern Furniture (Style), Shop by Room, Shop by Style, Furniture > Stools, Shop by Style > Vintage Furniture (Style)",,,"https://www.cocolea.com.au/wp-content/uploads/2019/08/photo-1-03-2015-10-22-11-am-v2_1.png, https://www.cocolea.com.au/wp-content/uploads/2019/08/photo_1-07-2015_12_31_14_pm_1_1.jpg",,,,,,,,,0,upi-identifier-exists,no,1,1,google-product-category,Furniture &gt; Chairs &gt; Table &amp; Bar Stools,1,1,,,,,,,,,,,,,,,,
3193,simple,COCO023,Belle X-1 Copper Aviator Cocoon Stool,1,0,visible,"<div class=""length""><div class=""std""><b>Length:</b>58 cm</div></div><div class=""width""><div class=""std""><b>Width:</b>58 cm</div></div><div class=""height""><div class=""std""><b>Height:</b>48.5 cm</div></div><div class=""weight""><div class=""std""><b>Weight:</b>7.00 kg</div></div><div class=""materials""><div class=""std""><b>Materials:</b>Leather, wood, Copper wrap</div></div>","<div class=""short-description""><div class=""std"">This compact statement stool features a panelled, studded copper exterior with a smooth, cushioned surface. The perfect addition to any relaxed yet sophisticated room. This unique design works as an individual piece or in conjunction with other designs in your bar or living space.*Also available in white leather contact us for other customised options you need<iframe src=""https://www.youtube.com/embed/29ZZijl6RxA"" width=""570"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div></div>",,,taxable,,7,58,58,48.5,1,,,765,"Furniture > Stools > Cocoon Stools, Shop By Material > Metal (Material) > Copper Furniture (Metal Material), Shop by Room > Dining (Room), Furniture, Shop by Style > Industrial Aviator (Style), Shop by Style > Industrial Furniture (Style), Shop By Material > Leather (Material), Shop by Style > Luxury Furniture (Style), Shop by Room > Mancave (Room), Shop by Style > Masculine Furniture (Style), Melbourne Furniture, Shop by Style > Modern Furniture (Style), Shop by Room, Shop by Style, Furniture > Stools, Shop by Style > Vintage Furniture (Style)",,,"https://www.cocolea.com.au/wp-content/uploads/2019/08/20160224_102814_2-1.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/20160224_102826_2.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/20160224_102814-grey.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/file_10-1-17_11_10_45_am.jpeg",,,,,,,,,0,upi-identifier-exists,no,1,1,google-product-category,Furniture &gt; Chairs &gt; Table &amp; Bar Stools,1,1,,,,,,,,,,,,,,,,
3202,simple,COCO024,Belle X-1 Polished Brass and White Leather Aviator Cocoon Stool,1,0,visible,"<div class=""length""><div class=""std""><b>Length:</b>58 cm</div></div><div class=""width""><div class=""std""><b>Width:</b>58 cm</div></div><div class=""height""><div class=""std""><b>Height:</b>48.5 cm</div></div><div class=""weight""><div class=""std""><b>Weight:</b>7.00 kg</div></div><div class=""materials""><div class=""std""><b>Materials:</b>Leather, wood, polished brass wrap</div></div>","This compact statement stool features a panelled, studded polished brass exterior with a smooth, cushioned surface. The perfect addition to any relaxed yet sophisticated room. This unique design works as an individual piece or in conjunction with other designs in your bar or living space.*contact us for other customised options you need",,,taxable,,7,58,58,48.5,1,,,765,"Shop by Room > Bedroom (Room), Shop by Style > Black and Gold (Style), Shop By Material > Metal (Material) > Brass Furniture (Metal Material), Furniture > Stools > Cocoon Stools, Shop by Room > Dining (Room), Furniture, Shop by Style > Industrial Aviator (Style), Shop by Style > Industrial Furniture (Style), Shop By Material > Leather (Material), Shop by Room > Living (Room), Shop by Style > Luxury Furniture (Style), Shop by Room > Mancave (Room), Shop by Style > Masculine Furniture (Style), Melbourne Furniture, Shop by Style > Modern Furniture (Style), Shop by Room > Office (Room), Shop by Room, Shop by Style, Furniture > Stools, Shop by Style > Vintage Furniture (Style)",,,"https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc01166.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc01168.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc01167.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc01164.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/20170206_123716_1.jpg",,,,,,,,,0,upi-identifier-exists,no,1,1,google-product-category,Furniture &gt; Chairs &gt; Table &amp; Bar Stools,1,1,,,,,,,,,,,,,,,,
3222,simple,COCO030,Chesti Mustard Chesterfield Leather Armchair,1,0,visible,"<div class=""length""><div class=""std""><b>Length:</b>82 cm</div></div><div class=""width""><div class=""std""><b>Width:</b>93 cm</div></div><div class=""height""><div class=""std""><b>Height:</b>118 cm</div></div><div class=""weight""><div class=""std""><b>Weight:</b>0.00 kg</div></div><div class=""materials""><div class=""std""><b>Materials:</b>Wood, Vintage Leather</div></div>","This piece incorporates a sophisticated chesterfield style in a unique mustard colour. The button-pressed chesterfield leatherwork and wood frame is a classical design yet a standout piece living up to its name in any living, home or office space.<iframe src=""https://www.youtube.com/embed/tAHrHBfDsTQ"" width=""570"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>",,,taxable,,25,62,93,118,1,,,3495,"Furniture > Chairs > Armchairs, Furniture > Chairs, Shop by Room > Dining (Room), Furniture, Shop by Style > Industrial Aviator (Style), Shop by Style > Industrial Furniture (Style), Shop By Material > Leather (Material), Shop by Room > Living (Room), Shop by Style > Luxury Furniture (Style), Shop by Room > Mancave (Room), Shop by Style > Masculine Furniture (Style), Melbourne Furniture, Shop by Style > Modern Furniture (Style), Shop by Room > Office (Room), Shop by Style > Provincial (Style), Shop by Room, Shop by Style, Shop by Style > Vintage Furniture (Style)",,,"https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_5308_copy.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_5311_copy.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_5313_copy.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_5309_copy.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_5307_copy.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_5310_copy.jpg",,,,,,,,,0,upi-identifier-exists,no,1,1,google-product-category,"Furniture &gt; Chairs &gt; Arm Chairs\, Recliners &amp; Sleeper Chairs",1,1,,,,,,,,,,,,,,,,
3233,simple,COCO032,Concorde Aluminium Aviator Cabinet,1,0,visible,"<div class=""length""><div class=""std""><b>Length:</b>123 cm</div></div><div class=""width""><div class=""std""><b>Width:</b>57 cm</div></div><div class=""height""><div class=""std""><b>Height:</b>65 cm</div></div><div class=""weight""><div class=""std""><b>Weight:</b>35.00 kg</div></div><div class=""materials""><div class=""std""><b>Materials:</b>Aluminium wrap, wood, canvas</div></div>","<div class=""short-description""><div class=""std"">Reminiscent of a vintage icebox, this piece has been designed and transformed into a modern, functional cabinet. This design works as a subtle yet stylish piece, front and centre in your home or a stylish bar for your rum and whisky. The panelled, studded aluminium exterior and inner black canvas lined shelf offers a practical yet sophisticated and stylistic way to add storage and function to any living, office or cigar room.</div></div><div class=""additional_data""><div class=""length""></div></div>",,,taxable,,35,123,57,65,1,,,2525,"Shop By Material > Metal (Material) > Aluminium Furniture (Metal Material), Furniture > Bars &amp; Cabinets, Furniture > Tables > Consoles, Shop by Room > Dining (Room), Furniture, Shop by Style > Industrial Aviator (Style), Shop by Style > Industrial Furniture (Style), Shop by Room > Living (Room), Shop by Style > Luxury Furniture (Style), Shop by Room > Mancave (Room), Shop by Style > Masculine Furniture (Style), Melbourne Furniture, Shop by Style > Modern Furniture (Style), Shop by Room > Office (Room), Furniture > Shelving, Shop by Room, Shop by Style, Furniture > Storage, Shop by Style > Vintage Furniture (Style)",,,"https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_8973_2.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_8965_2_1.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_8970_2_1.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/20170206_121521_1.jpg",,,,,,,,,0,upi-identifier-exists,no,1,1,google-product-category,Furniture &gt; Cabinets &amp; Storage &gt; Buffets &amp; Sideboards,1,1,,,,,,,,,,,,,,,,
3266,simple,COCO053,Gauntlet Aluminium and Brown Leather Swan Chair,1,0,visible,"<div class=""length""><div class=""std""><b>Length:</b>69 cm</div></div><div class=""width""><div class=""std""><b>Width:</b>64 cm</div></div><div class=""height""><div class=""std""><b>Height:</b>89 cm</div></div><div class=""weight""><div class=""std""><b>Weight:</b>15.00 kg</div></div><div class=""materials""><div class=""std""><b>Materials:</b>Leather, wood, aluminium wrap</div></div>","This innovative, modern swan style chair features the smooth aerodynamic lines of modern and classic aircraft. Contrasting smooth vintage brown leather with a panelled polished aluminium frame, this 360-degree rotating cockpit-style chair is the perfect addition to any aviator-industrial style home, corporate or dining environment. Has height adjustment feature and can be customised with wheel castors",,,taxable,,15,69,64,89,1,,,1212,"Shop By Material > Metal (Material) > Aluminium Furniture (Metal Material), Furniture > Chairs > Desk Chairs, Shop by Room > Dining (Room), Furniture > Chairs > Dining Chairs, Furniture, Shop by Style > Industrial Aviator (Style), Shop by Style > Industrial Furniture (Style), Shop By Material > Leather (Material), Shop by Room > Living (Room), Shop by Style > Luxury Furniture (Style), Shop by Room > Mancave (Room), Shop by Style > Masculine Furniture (Style), Melbourne Furniture, Shop by Style > Modern Furniture (Style), Shop by Room > Office (Room), Furniture > Chairs > Office Chair (Seatings), Shop by Room, Shop by Style, Shop By Material > Leather (Material) > Top Grain (Leather Material), Shop by Style > Vintage Furniture (Style)",,,"https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_8820_2.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/file_12-1-17_10_50_59_am_2_2.jpeg, https://www.cocolea.com.au/wp-content/uploads/2019/08/photo_8-07-2015_8_36_24_pm_6_1.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/photo_27-06-2015_2_04_31_pm_2_1.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_8825_2_1.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_8826_2_1.jpg",,,,,,,,,0,upi-identifier-exists,no,1,1,google-product-category,Furniture &gt; Office Furniture &gt; Office Chairs,1,1,,,,,,,,,,,,,,,,
3274,simple,COCO054,Gauntlet Copper and Black Leather Swan Chair,1,0,visible,"<div class=""length""><div class=""std""><b>Length:</b>69 cm</div></div><div class=""width""><div class=""std""><b>Width:</b>64 cm</div></div><div class=""height""><div class=""std""><b>Height:</b>89 cm</div></div><div class=""weight""><div class=""std""><b>Weight:</b>15.00 kg</div></div><div class=""materials""><div class=""std""><b>Materials:</b>Leather, wood, copper wrap</div></div>","This innovative, modern swan style chair features the smooth aerodynamic lines of modern and classic aircraft. Contrasting smooth vintage black leather with a panelled polished copper frame, this 360-degree rotating cockpit-style chair is the perfect addition to any aviator-industrial style home, corporate or dining environment. Has height adjustment feature and can be customised with wheel castors",,,taxable,,15,69,64,89,1,,,1489,"Furniture > Chairs, Shop By Material > Metal (Material) > Copper Furniture (Metal Material), Furniture > Chairs > Desk Chairs, Shop by Room > Dining (Room), Furniture > Chairs > Dining Chairs, Furniture, Shop by Style > Industrial Aviator (Style), Shop by Style > Industrial Furniture (Style), Shop By Material > Leather (Material), Shop by Style > Luxury Furniture (Style), Shop by Room > Mancave (Room), Shop by Style > Masculine Furniture (Style), Melbourne Furniture, Shop by Style > Modern Furniture (Style), Shop by Room > Office (Room), Furniture > Chairs > Office Chair (Seatings), Shop by Room, Shop by Style, Shop By Material > Leather (Material) > Top Grain (Leather Material), Shop by Style > Vintage Furniture (Style)",,,"https://www.cocolea.com.au/wp-content/uploads/2019/08/20160224_102939_2.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/20160224_102923_2.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/file_12-1-17_10_50_59_am_1_1.jpeg",,,,,,,,,0,upi-identifier-exists,no,1,1,google-product-category,Furniture &gt; Office Furniture &gt; Office Chairs,1,1,,,,,,,,,,,,,,,,
3278,simple,COCO055,Gauntlet Polished Brass and White Leather Swan Chair,1,0,visible,"<div class=""length""><div class=""std""><b>Length:</b>69 cm</div></div><div class=""width""><div class=""std""><b>Width:</b>64 cm</div></div><div class=""height""><div class=""std""><b>Height:</b>89 cm</div></div><div class=""weight""><div class=""std""><b>Weight:</b>15.00 kg</div></div><div class=""materials""><div class=""std""><b>Materials:</b>Leather, Real Polished Brass, Inner wood frame</div></div>","This innovative, modern swan style chair features the smooth aerodynamic lines of modern and classic aircraft. Contrasting smooth vintage white leather with a panelled polished brass frame, this 360-degree rotating cockpit-style chair is the perfect addition to any aviator-industrial style home, corporate or dining environment. Has height adjustment feature and can be customised with wheel castors.<iframe src=""https://www.youtube.com/embed/FPkudsxKmCE"" width=""570"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>",,,taxable,,15,69,64,89,1,,,1877,"Shop by Style > Black and Gold (Style), Shop By Material > Metal (Material) > Brass Furniture (Metal Material), Furniture > Chairs, Furniture > Chairs > Desk Chairs, Shop by Room > Dining (Room), Furniture > Chairs > Dining Chairs, Furniture, Shop by Style > Industrial Aviator (Style), Shop by Style > Industrial Furniture (Style), Shop By Material > Leather (Material), Shop by Room > Living (Room), Shop by Style > Luxury Furniture (Style), Shop by Room > Mancave (Room), Shop by Style > Masculine Furniture (Style), Melbourne Furniture, Shop by Style > Modern Furniture (Style), Shop by Room > Office (Room), Furniture > Chairs > Office Chair (Seatings), Shop by Room, Shop by Style, Shop By Material > Leather (Material) > Top Grain (Leather Material), Shop by Style > Vintage Furniture (Style)",,,"https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_5288_copy.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/file_12-1-17_10_50_59_am_3.jpeg, https://www.cocolea.com.au/wp-content/uploads/2019/08/20161111_170432.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/unspecified_1.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_5290_copy.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_5289_copy.jpg, https://www.cocolea.com.au/wp-content/uploads/2019/08/dsc_5287_copy.jpg",,,,,,,,,0,upi-identifier-exists,no,1,1,google-product-category,Furniture &gt; Office Furniture &gt; Office Chairs,1,1,,,,,,,,,,,,,,,,
