Location,Postcodes,Item,Weight,,Cost,
"Victoria ","3363,3000,3977,3976,3975,3910,3806,3805,3804,3803,3802,3800,3765,3752,3207,3206,3205,3204,3202,3201,3200,3199,3198,3197,3196,3195,3194,3193,3192,3191,3190,3189,3188,3187,3186,3185,3184,3183,3182,3181,3180,3179,3178,3177,3176,3175,3174,3173,3172,3171,3170,3169,3168,3167,3166,3165,3164,3163,3162,3161,3160,3159,3158,3156,3155,3154,3153,3152,3151,3150,3149,3148,3147,3146,3145,3144,3143,3142,3141,3140,3138,3137,3136,3135,3134,3133,3132,3131,3130,3129,3128,3127,3126,3125,3124,3123,3122,3121,3116,3115,3114,3113,3111,3110,3109,3108,3107,3106,3105,3104,3103,3102,3101,3097,3096,3095,3094,3093,3091,3090,3089,3088,3087,3086,3085,3084,3083,3082,3081,3079,3078,3076,3075,3074,3073,3072,3071,3070,3068,3067,3066,3065,3062,3061,3060,3059,3058,3057,3056,3055,3054,3053,3052,3051,3050,3049,3048,3047,3046,3045,3044,3043,3042,3041,3040,3039,3038,3037,3036,3034,3033,3032,3031,3030,3029,3028,3027,3026,3025,3024,3023,3022,3021,3020,3019,3018,3016,3015,3013,3012,3011,3010,3008,3006,3005,3004,3003,3002,3001,3351,3352,3353,3354","More than 0 items - $9.95 - per item",,,,
"Victoria Regional","3995,3992,3991,3990,3988,3987,3984,3996,3310,3971,3967,3966,3965,3964,3962,3960,3959,3958,3957,3956,3954,3953,3909,3904,3903,3902,3892,3891,3890,3889,3888,3887,3886,3885,3882,3880,3878,3875,3874,3873,3871,3870,3869,3865,3864,3862,3860,3859,3858,3857,3856,3854,3853,3852,3851,3850,3847,3844,3842,3841,3840,3835,3833,3832,3831,3825,3824,3823,3822,3821,3820,3749,3747,3746,3744,3739,3738,3737,3736,3735,3733,3732,3730,3728,3727,3726,3725,3724,3723,3722,3720,3719,3718,3717,3715,3714,3713,3712,3711,3704,3700,3698,3695,3688,3687,3685,3683,3682,3678,3677,3676,3675,3673,3672,3671,3670,3669,3666,3665,3664,3663,3662,3661,3660,3659,3658,3649,3647,3646,3644,3643,3641,3640,3639,3638,3637,3636,3635,3634,3633,3632,3631,3630,3629,3624,3623,3622,3621,3620,3619,3618,3617,3616,3614,3612,3610,3608,3607,3599,3597,3596,3595,3594,3591,3590,3589,3588,3586,3585,3584,3583,3581,3580,3579,3576,3575,3573,3572,3571,3570,3568,3567,3566,3565,3564,3563,3562,3561,3559,3558,3557,3556,3549,3546,3544,3542,3540,3537,3533,3531,3530,3529,3527,3525,3523,3522,3521,3520,3518,3517,3516,3515,3512,3509,3507,3506,3505,3502,3501,3500,3498,3496,3494,3491,3490,3489,3488,3487,3485,3483,3482,3480,3478,3475,3472,3469,3468,3467,3465,3464,3463,3462,3424,3423,3420,3419,3418,3415,3414,3413,3412,3409,3407,3402,3401,3400,3396,3395,3393,3392,3391,3390,3388,3387,3385,3384,3381,3380,3379,3378,3377,3375,3373,3371,3370,3364,3334,3354,3352,3351,3335,3333,3332,3331,3330,3329,33283,3325,3324,3323,3322,3321,3319,3318,3317,3315,3314,3312,3311,3222,3221,3220,3219,3218,3217,3216,3215,3214,3212,3211,3139,3099,3064,3063,3223,3224,3225,3226,3227,3228,3230,3231,3232,3335,3337,3338,3340,3341,3342,3345,3360,3361,3427,3428,3429,3430,3431,3432,3433,3434,3435,3437,3438,3440,3441,3442,3444,3446,3447,3448,3450,3451,3453,3458,3460,3461,3550,3551,3552,3554,3555,3750,3751,3753,3754,3755,3756,3757,3758,3759,3760,3761,3762,3763,3764,3766,3767,3770,3775,3777,3778,3779,3781,3782,3783,3785,3786,3787,3788,3789,3791,3792,3793,3795,3796,3797,3799,3807,3808,3809,3810,3812,3813,3814,3815,3816,3818,3911,3912,3913,3915,3916,3918,3919,3920,3921,3922,3923,3925,3926,3927,3928,3929,3930,3931,3933,3934,3936,3937,3938,3939,3940,3941,3942,3943,3944,3233,3235,3236,3237,3238,3239,3240,3241,3242,3243,3249,3250,3251,3254,3260,3264,3265,3266,3267,3268,3269,3270,3271,3272,3273,3274,3275,3276,3277,3278,3279,3280,3281,3282,3283,3284,3285,3945,3286,3287,3289,3292,3293,3294,3300,3301,3302,3303,3304,3305,3309,3946,3950,3951,3980,3981,3978,3213,3979","More than 0 items - $29.95 - per item",,,,
"Sydney (SYD)","2769,2768,2767,2766,2765,2763,2762,2761,2760,2759,2756,2755,2754,2753,2750,2749,2748,2747,2745,2567,2566,2565,2564,2563,2560,2559,2558,2557,2556,2555,2234,2233,2232,2231,2230,2229,2228,2227,2226,2225,2224,2223,2222,2221,2220,2219,2218,2217,2216,2214,2213,2212,2211,2210,2209,2208,2207,2206,2205,2204,2203,2200,2199,2198,2197,2196,2195,2194,2193,2192,2191,2190,2179,2178,2177,2176,2175,2174,2173,2172,2171,2170,2168,2167,2166,2165,2164,2163,2162,2161,2160,2158,2157,2156,2155,2154,2153,2152,2151,2150,2148,2147,2146,2145,2144,2143,2142,2141,2140,2139,2138,2137,2136,2135,2134,2133,2132,2131,2130,2129,2128,2127,2126,2125,2124,2123,2122,2121,2120,2119,2118,2117,2116,2115,2114,2113,2112,2111,2110,2109,2108,2107,2106,2105,2104,2103,2102,2101,2100,2099,2097,2096,2095,2094,2093,2092,2091,2090,2089,2088,2087,2086,2085,2084,2080,2079,2077,2076,2075,2074,2073,2072,2071,2070,2069,2068,2067,2066,2065,2064,2063,2062,2061,2060,2059,2058,2057,2055,2052,2050,2049,2048,2047,2046,2045,2044,2043,2042,2041,2040,2039,2038,2037,2036,2035,2000,2001,2002,2004,2006,2007,2008,2009,2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2770",,"More than 0 kgs - $0.39 - per kg",,,
"Country NSW (NTL)","2327,2326,2325,2324,2323,2322,2321,2320,2319,2318,2317,2316,2315,2314,2310,2309,2308,2307,2306,2305,2304,2303,2302,2300,2299,2298,2297,2296,2295,2294,2293,2292,2291,2290,2289,2287,2286,2285,2284,2283,2282,2281,2280,2278,2267,2265,2264,2263,2262,2261,2260,2259,2258,2257,2256,2252,2251,2250,2159,2083,2082,2081,2775",,"More than 0 kgs - $0.57 - per kg",,,
"Country NSW (CNSW)","2390,2395,2396,2397,2398,2399,2400,2401,2402,2403,2404,2405,2406,2408,2409,2410,2411,2415,2420,2421,2757,2758,2773,2774,2776,2777,2778,2779,2780,2782,2783,2784,2785,2786,2787,2790,2791,2792,2793,2794,2795,2796,2797,2388,2798,2799,2800,2803,2804,2805,2806,2807,2808,2809,2810,2820,2827,2828,2830,2842,2843,2844,2845,2846,2847,2848,2849,2850,2852,2864,2865,2866,2867,2868,2869,2870,2871,2876,2387,2311,2328,2329,2330,2331,2333,2334,2335,2336,2337,2338,2339,2340,2341,2342,2343,2344,2345,2346,2347,2348,2350,2351,2352,2353,2354,2355,2356,2357,2358,2359,2360,2361,2365,2369,2370,2371,2372,2379,2380,2381,2382,2386",,"More than 0 kgs - $0.95 - per kg",,,
"Country NSW (HRNSW)","2445,2444,2443,2442,2441,2440,2439,2431,2430,2429,2428,2427,2426,2425,2446,2424,2423,2422,2312",,"More than 0 kgs - $0.72 - per kg",,,
"Country NSW (NCNSW)","2483,2482,2481,2480,2479,2478,2477,2476,2475,2474,2473,2472,2471,2470,2469,2466,2465,2464,2463,2462,2460,2456,2455,2454,2453,2452,2450,2449,2448,2447,2490",,"More than 0 kgs - $0.83 - per kg",,,
"Country NSW (SEQLD)","4223,4221,4220,4219,4218,4217,4216,4215,4214,4213,4212,4211,4210,4209,4208,2489,2488,2487,2486,2485,2484,4225,4226,4227,4228,4229,4230,4345,4350,4352,4353,4364,4365,4504,4505,4506,4507,4508,4509,4510,4511,4512,4514,4515,4516,4517,4518,4519,4520,4521,4550,4551,4552,4553,4554,4555,4556,4557,4558,4559,4560,4561,4562,4563,4564,4565,4566,4567,4568,4569,4572,4573,4575,4224",,"More than 0 kgs - $0.67 - per kg",,,
"Wollongong (WOL)","2522,2521,2520,2519,2518,2517,2516,2515,2508,2506,2505,2502,2500,2525,2526,2527,2528,2529,2530,2533,2534,2568,2569,2570,2571,2572,2573,2574,2575,2576,2577,2578,2579,2752",,"More than 0 kgs - $0.57 - per kg",,,
"Country NSW (SCNSW)","2550,2549,2548,2535,2536,2537,2538,2539,2540,2541,2545,2546,2551",,"More than 0 kgs - $0.72 - per kg",,,
